Artist,Album,Location,Art
Taylor Swift,Folklore,6,/assets/img/Taylor SwiftFolklore.jpg
Tegan and Sara,Love You to Death,6,/assets/img/Tegan and SaraLove You to Death.jpg
Tegan and Sara,The Con,6,/assets/img/Tegan and SaraThe Con.jpg
Thom Yorke,Anima,6,/assets/img/Thom YorkeAnima.jpg
Tyler the Creator,Flower Boy,6,/assets/img/Tyler the CreatorFlower Boy.jpg
Tyler the Creator,IGOR,6,/assets/img/Tyler the CreatorIGOR.jpg
Vampire Weekend,Father of the Bride,6,/assets/img/Vampire WeekendFather of the Bride.jpg
Vivaldi,The Four Seasons,6,/assets/img/VivaldiThe Four Seasons.jpg
Washed Out,Within and Without,6,/assets/img/Washed OutWithin and Without.jpg
Wilco,Yankee Hotel Foxtrot,6,/assets/img/WilcoYankee Hotel Foxtrot.jpg
Wilco,Star Wars,6,/assets/img/WilcoStar Wars.jpg
The World is a Beautiful Place & I Am No Longer Afraid to Die,"Whenever, If Ever",6,"/assets/img/The World is a Beautiful Place & I Am No Longer Afraid to DieWhenever, If Ever.jpg"
Radiohead,OK Computer,6,/assets/img/RadioheadOK Computer.jpg
Phoebe Bridgers,Stranger in the Alps,6,/assets/img/Phoebe BridgersStranger in the Alps.jpg
The Avalanches,Since I Left You,6,/assets/img/The AvalanchesSince I Left You.jpg
The Strokes,Is This It (UK Cover),6,/assets/img/The StrokesIs This It (UK Cover).jpg
Mae,Destination: B-Sides,6,/assets/img/MaeDestination: B-Sides.jpg
New Order,"Power, Corruption & Lies",6,"/assets/img/New OrderPower, Corruption & Lies.jpg"
Bon Iver,"For Emma, Forever Ago",6,"/assets/img/Bon IverFor Emma, Forever Ago.jpg"
SZA,CTRL,6,/assets/img/SZACTRL.jpg
Deafheaven,New Bermuda,6,/assets/img/DeafheavenNew Bermuda.jpg
Madvillain,Madvillainy,6,/assets/img/MadvillainMadvillainy.jpg
Ta-Ku,Songs to Break Up To,6,/assets/img/Ta-KuSongs to Break Up To.jpg
Tegan and Sara,So Jealous,6,/assets/img/Tegan and SaraSo Jealous.jpg
Queens of the Stone Age,…Like Clockwork,6,/assets/img/Queens of the Stone Age…Like Clockwork.jpg
Odesza,In Return,6,/assets/img/OdeszaIn Return.jpg
Death Cab For Cutie,Transatlanticism,6,/assets/img/Death Cab For CutieTransatlanticism.jpg
Vampire Weekend,Vampire Weekend,6,/assets/img/Vampire WeekendVampire Weekend.jpg
Vampire Weekend,Contra,6,/assets/img/Vampire WeekendContra.jpg
Vampire Weekend,Modern Vampires of the City,6,/assets/img/Vampire WeekendModern Vampires of the City.jpg
Kero Kero Bonito,Graduation,6,/assets/img/Kero Kero BonitoGraduation.jpg
Kero Kero Bonito,TOTEP,6,/assets/img/Kero Kero BonitoTOTEP.jpg
Kero Kero Bonito,Time 'n' Place (Picture Disc),6,/assets/img/Kero Kero BonitoTime 'n' Place (Picture Disc).jpg
Japanese Breakfast,Psychopomp,6,/assets/img/Japanese BreakfastPsychopomp.jpg
Japanese Breakfast,Soft Softs from Another Planet,6,/assets/img/Japanese BreakfastSoft Softs from Another Planet.jpg
